,datetime,open,high,low,close,volume,volumeCcy
63,2022-02-25 23:00:00,2793.77,2806.37,2763.45,2778.51,15572.648744,43328240.710143
64,2022-02-25 22:45:00,2724.76,2798.93,2724.76,2793.77,21307.849453,59033887.622389
65,2022-02-25 22:30:00,2705.81,2729.27,2705.81,2724.76,4049.792406,11011861.703425
66,2022-02-25 22:15:00,2706.61,2709.23,2700.7,2708.08,1372.876785,3713169.01875
67,2022-02-25 22:00:00,2707,2709.05,2693,2706.79,5220.122969,14091720.990634
68,2022-02-25 21:45:00,2710.36,2713.52,2702.16,2706.9,3555.925065,9628412.447803
69,2022-02-25 21:30:00,2718.1,2719.07,2709.22,2710.39,3627.784262,9839773.822348
70,2022-02-25 21:15:00,2723.76,2724.5,2713.34,2718.04,3213.632133,8737091.718431
71,2022-02-25 21:00:00,2713.6,2729.15,2706.39,2724.55,6374.435274,17325269.714287
72,2022-02-25 20:45:00,2695.79,2719.39,2694.61,2714.69,13797.442715,37374381.169221
73,2022-02-25 20:30:00,2680.01,2701.29,2680.01,2695.33,8435.864389,22713694.525075
74,2022-02-25 20:15:00,2685.89,2698.37,2680.01,2681,7167.071839,19277071.990873
75,2022-02-25 20:00:00,2678.94,2686.78,2669.99,2685.23,7947.533389,21285135.943835
76,2022-02-25 19:45:00,2686.01,2690.39,2673.41,2678.78,7323.253403,19639622.977194
77,2022-02-25 19:30:00,2696.01,2700.73,2681.76,2687.3,7905.340595,21249865.422619
78,2022-02-25 19:15:00,2679.4,2704.16,2679.4,2695.91,9006.266673,24256440.111947
79,2022-02-25 19:00:00,2674.88,2683.33,2667.01,2678.93,9285.446641,24827287.456426
80,2022-02-25 18:45:00,2688.21,2690.19,2669.81,2674.81,6946.30219,18603906.440044
81,2022-02-25 18:30:00,2685.61,2690.02,2678.05,2688.76,4953.795098,13304143.978932
82,2022-02-25 18:15:00,2673.79,2688.24,2672.42,2686.1,8277.358435,22206536.97885
83,2022-02-25 18:00:00,2693,2699.92,2667.27,2673.6,11740.160896,31480429.959941
84,2022-02-25 17:45:00,2710.57,2711.91,2690,2692.83,10738.406279,28962218.559505
85,2022-02-25 17:30:00,2715.62,2723.66,2703.41,2710.63,6553.881366,17787124.699855
86,2022-02-25 17:15:00,2690.98,2717.2,2684.87,2715.62,10486.267531,28329677.53904
87,2022-02-25 17:00:00,2725.2,2730.2,2689.05,2690.95,7288.892501,19773468.982362
