,datetime,open,high,low,close,volume,volumeCcy
0,2022-02-26 14:15:00,14.444,14.495,14.395,14.465,80624.743073,1165288.4313
1,2022-02-26 14:00:00,14.442,14.513,14.435,14.45,111724.616682,1618114.919624
2,2022-02-26 13:45:00,14.445,14.521,14.395,14.445,145801.072719,2106605.921863
3,2022-02-26 13:30:00,14.532,14.534,14.454,14.458,126843.797821,1837601.646456
4,2022-02-26 13:15:00,14.571,14.578,14.526,14.533,145497.023358,2116659.610904
5,2022-02-26 13:00:00,14.46,14.558,14.401,14.558,158959.18239,2299707.381734
6,2022-02-26 12:45:00,14.463,14.497,14.429,14.456,98233.679753,1420195.647833
7,2022-02-26 12:30:00,14.322,14.462,14.322,14.462,165758.173635,2388366.897762
8,2022-02-26 12:15:00,14.339,14.378,14.286,14.334,167791.889223,2403345.038905
9,2022-02-26 12:00:00,14.419,14.453,14.268,14.331,291999.206394,4189314.260263
10,2022-02-26 11:45:00,14.398,14.495,14.398,14.424,244858.678283,3537787.352389
11,2022-02-26 11:30:00,14.313,14.395,14.299,14.395,116051.014253,1664277.988892
12,2022-02-26 11:15:00,14.245,14.311,14.174,14.299,193134.445884,2750017.628136
13,2022-02-26 11:00:00,14.35,14.411,14.25,14.25,128927.526162,1847122.510193
14,2022-02-26 10:45:00,14.267,14.363,14.267,14.356,120391.808238,1724394.808602
15,2022-02-26 10:30:00,14.316,14.326,14.245,14.266,75571.068123,1080397.723259
16,2022-02-26 10:15:00,14.298,14.349,14.276,14.319,124105.61826,1775763.029192
17,2022-02-26 10:00:00,14.238,14.339,14.238,14.314,144250.183137,2061995.980029
18,2022-02-26 09:45:00,14.299,14.305,14.17,14.271,149159.26326,2122574.618494
19,2022-02-26 09:30:00,14.258,14.312,14.253,14.306,106264.113669,1517152.097624
20,2022-02-26 09:15:00,14.162,14.316,14.137,14.282,354993.710731,5042465.667481
21,2022-02-26 09:00:00,14.167,14.304,14.141,14.152,264807.718798,3766816.958767
22,2022-02-26 08:45:00,14.295,14.295,14.103,14.168,279483.017571,3958791.055368
23,2022-02-26 08:30:00,14.494,14.5,14.317,14.336,90158.345142,1300565.463439
